point,x_bohr,y_bohr,z_bohr,arclength_bohr,density_scf,density_frag,dengrad_mag,laplacian_scf
0,1.64202832,2.83720347,0.36465502,0.00000000,3.1000267924e+02,3.1182743447e+02,4.9768938259e+03,-9.5601002807e+07
1,1.64273753,2.84072673,0.36392807,0.00366671,2.9275808416e+02,2.9452613117e+02,4.7009254204e+03,-2.4822811309e+06
2,1.64344673,2.84424998,0.36320112,0.00733342,2.7602569374e+02,2.7773582071e+02,4.4284908796e+03,-1.1331659649e+06
3,1.64415594,2.84777324,0.36247416,0.01100013,2.6026256020e+02,2.6191581428e+02,4.1720494714e+03,-6.8909393017e+05
4,1.64486515,2.85129650,0.36174721,0.01466685,2.4541187512e+02,2.4700934797e+02,3.9306488963e+03,-4.7096976303e+05
5,1.64557436,2.85481975,0.36102026,0.01833356,2.3142017460e+02,2.3296299410e+02,3.7033938891e+03,-3.4299121988e+05
6,1.64628356,2.85834301,0.36029331,0.02200027,2.1823708532e+02,2.1972640775e+02,3.4894418722e+03,-2.5990453013e+05
7,1.64699277,2.86186627,0.35956636,0.02566698,2.0581531561e+02,2.0725231941e+02,3.2880026082e+03,-2.0232704450e+05
8,1.64770198,2.86538952,0.35883941,0.02933369,1.9411039736e+02,1.9549627727e+02,3.0983338178e+03,-1.6057656603e+05
9,1.64841119,2.86891278,0.35811245,0.03300040,1.8308039940e+02,1.8441636070e+02,2.9197363557e+03,-1.2928133981e+05
10,1.64912040,2.87243604,0.35738550,0.03666712,1.7268598271e+02,1.7397323704e+02,2.7515549391e+03,-1.0522490962e+05
11,1.64982960,2.87595929,0.35665855,0.04033383,1.6289012073e+02,1.6412988180e+02,2.5931734609e+03,-8.6365691764e+04
12,1.65053881,2.87948255,0.35593160,0.04400054,1.5365789332e+02,1.5485137283e+02,2.4440115132e+03,-7.1347017677e+04
13,1.65124802,2.88300581,0.35520465,0.04766725,1.4495653369e+02,1.4610493851e+02,2.3035250117e+03,-5.9233677457e+04
14,1.65195723,2.88652906,0.35447770,0.05133396,1.3675520054e+02,1.3785972976e+02,2.1712023830e+03,-4.9360979785e+04
15,1.65266644,2.89005232,0.35375074,0.05500067,1.2902480483e+02,1.3008664696e+02,2.0465616543e+03,-4.1244304825e+04
16,1.65337564,2.89357558,0.35302379,0.05866738,1.2173804984e+02,1.2275838097e+02,1.9291509869e+03,-3.4522784971e+04
17,1.65408485,2.89709883,0.35229684,0.06233410,1.1486921874e+02,1.1584920052e+02,1.8185451484e+03,-2.8922630281e+04
18,1.65479406,2.90062209,0.35156989,0.06600081,1.0839406964e+02,1.0933484746e+02,1.7143437272e+03,-2.4232791611e+04
19,1.65550327,2.90414535,0.35084294,0.06966752,1.0228983326e+02,1.0319253509e+02,1.6161710048e+03,-2.0288378627e+04
20,1.65621247,2.90766861,0.35011598,0.07333423,9.6535058902e+01,9.7400794028e+01,1.5236733929e+03,-1.6958956948e+04
21,1.65692168,2.91119186,0.34938903,0.07700094,9.1109567373e+01,9.1939425478e+01,1.4365185992e+03,-1.4140260657e+04
22,1.65763089,2.91471512,0.34866208,0.08066765,8.5994319616e+01,8.6789369695e+01,1.3543934440e+03,-1.1748126854e+04
23,1.65834010,2.91823838,0.34793513,0.08433436,8.1171431904e+01,8.1932721879e+01,1.2770040369e+03,-9.7140839894e+03
24,1.65904931,2.92176163,0.34720818,0.08800108,7.6624063547e+01,7.7352619729e+01,1.2040739105e+03,-7.9819890712e+03
25,1.65975851,2.92528489,0.34648123,0.09166779,7.2336324680e+01,7.3033151127e+01,1.1353424827e+03,-6.5054883844e+03
26,1.66046772,2.92880815,0.34575427,0.09533450,6.8293278299e+01,6.8959356723e+01,1.0705650356e+03,-5.2460987090e+03
27,1.66117693,2.93233140,0.34502732,0.09900121,6.4480868960e+01,6.5117158614e+01,1.0095115213e+03,-4.1716917164e+03
28,1.66188614,2.93585466,0.34430037,0.10266792,6.0885821857e+01,6.1493259144e+01,9.5196489844e+02,-3.2553005574e+03
